Category Name,Category URL,Service Name,Service URL,Offer Name,Offer URL,Offer Stars,Offer Raters,Offer Response Time,Offer Buyers,Pending,Price,Duration,Reviews,Available Additions,Additions Price,Owner Name,Owner URL,Owner Verified,Owner Level,Owner Stars,Owner Raters,Owner Completion Rate,Owner Services,Owner Customers,Owner Response Time
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,إنشاء واجهات أمامية لموقع ويب,https://khamsat.com/programming/custom-website-development/3024832-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D8%A3%D9%85%D8%A7%D9%85%D9%8A%D8%A9-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%8A%D8%A8,5.0,1,أقل من دقيقة,1,0,$10.00,يومين,1,4,95.0,.Abdalla G,https://khamsat.com/user/abdallagamalph,True,بائع جديد,5.0,1,100.0%,1,1,أقل من دقيقة
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,انشاء موقع رياضي به مباريات اليوم والأمس والغد,https://khamsat.com/programming/custom-website-development/2706673-%D8%A7%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A-%D8%A8%D9%87-%D9%85%D8%A8%D8%A7%D8%B1%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D9%88%D8%A7%D9%84%D8%A3%D9%85%D8%B3-%D9%88%D8%A7%D9%84%D8%BA%D8%AF,0.0,0,لم يحسب,1,0,$50.00,يوم واحد,0,0,0.0,.Shimaa G,https://khamsat.com/user/rana.ga1,True,بائع مميز,5.0,44,74.71%,3,56,9 ساعات
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,تطوير أنظمة إدارية متكاملة كاشير، مستشفيات، CRUD,https://khamsat.com/programming/custom-website-development/3023789-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%A3%D9%86%D8%B8%D9%85%D8%A9-%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9-%D9%85%D8%AA%D9%83%D8%A7%D9%85%D9%84%D8%A9-%D9%83%D8%A7%D8%B4%D9%8A%D8%B1-%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%8A%D8%A7%D8%AA-crud,5.0,1,25 دقيقة,1,0,$10.00,شهر,1,0,0.0,.Qamar Khodr Al Khafor K,https://khamsat.com/user/qamareng,True,بائع جديد,5.0,2,80.0%,2,1,13 دقيقة
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,تصميم وتكويد موقعك تصميم احترافي بأقل التكاليف,https://khamsat.com/programming/custom-website-development/760022-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%AA%D9%83%D9%88%D9%8A%D8%AF-%D9%85%D9%88%D9%82%D8%B9%D9%83-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D8%A8%D8%A3%D9%82%D9%84-%D8%A7%D9%84%D8%AA%D9%83%D8%A7%D9%84%D9%8A%D9%81,5.0,76,19 ساعة,92,0,$50.00,أسبوع,25,5,750.0,ولاء ر.,https://khamsat.com/user/%D9%88%D9%84%D8%A7%D8%A1-%D8%B1%D9%85%D8%B6%D8%A7%D9%86,True,بائع مميز,5.0,80,84.19%,2,93,12 ساعة
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,عمل مواقع الويب سايت ورد برس,https://khamsat.com/programming/custom-website-development/2859559-%D8%B9%D9%85%D9%84-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%88%D9%8A%D8%A8-%D8%B3%D8%A7%D9%8A%D8%AA-%D9%88%D8%B1%D8%AF-%D8%A8%D8%B1%D8%B3,5.0,2,8 ساعات,3,0,$50.00,أسبوع,2,2,80.0,اميرة م.,https://khamsat.com/user/amira_ayman_moustafa,True,بائع مميز,5.0,29,94.87%,7,33,5 ساعات
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,"تصميم وتطوير الواجهات الأمامية باستخدام HTML , CSS , JS",https://khamsat.com/programming/custom-website-development/2989296-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%A7%D9%84%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D9%85%D8%A7%D9%85%D9%8A%D8%A9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-html-css-js,5.0,3,15 ساعة,3,0,$10.00,ثلاثة أيام,3,4,100.0,.Mahmoud M,https://khamsat.com/user/mahmoud_moursy,True,بائع جديد,5.0,6,100.0%,2,5,7 ساعات
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,تصميم و برمجة مواقع بمواصفات عالمية و حديثة,https://khamsat.com/programming/custom-website-development/2445247-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A8%D9%85%D9%88%D8%A7%D8%B5%D9%81%D8%A7%D8%AA-%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9-%D9%88-%D8%AD%D8%AF%D9%8A%D8%AB%D8%A9,5.0,41,دقيقة,52,0,$5.00,يوم واحد,25,3,195.0,.Mustapha O,https://khamsat.com/user/fullstackwebdevelope,True,بائع مميز,5.0,41,93.62%,1,52,دقيقة
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,تصميم وبرمجة مواقع بأحدث اللغات - حل مشاكل اسكريبتات PHP,https://khamsat.com/programming/custom-website-development/1790476-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A8%D8%A3%D8%AD%D8%AF%D8%AB-%D8%A7%D9%84%D9%84%D8%BA%D8%A7%D8%AA-%D8%AD%D9%84-%D9%85%D8%B4%D8%A7%D9%83%D9%84-%D8%A7%D8%B3%D9%83%D8%B1%D9%8A%D8%A8%D8%AA%D8%A7%D8%AA-php,5.0,7,ساعة,8,0,$5.00,يومين,7,5,345.0,ابراهيم ا.,https://khamsat.com/user/ibrahim_ashraf1996,True,بائع جديد,5.0,7,100.0%,2,8,50 دقيقة
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,فهرسة كتب PDF من Internet Archive بروابط قابلة للنقر,https://khamsat.com/programming/custom-website-development/3006184-%D9%81%D9%87%D8%B1%D8%B3%D8%A9-%D9%83%D8%AA%D8%A8-pdf-%D9%85%D9%86-internet-archive-%D8%A8%D8%B1%D9%88%D8%A7%D8%A8%D8%B7-%D9%82%D8%A7%D8%A8%D9%84%D8%A9-%D9%84%D9%84%D9%86%D9%82%D8%B1,5.0,1,35 دقيقة,1,0,$5.00,يوم واحد,1,1,5.0,عمرو ز.,https://khamsat.com/user/amr_khaled_mospah,True,بائع جديد,5.0,2,100.0%,4,3,18 دقيقة
برمجة وتطوير,https://khamsat.com/programming,إنشاء موقع إلكتروني,https://khamsat.com/programming/custom-website-development,بناء واجهة شات دردشة في موقعك,https://khamsat.com/programming/custom-website-development/2959963-%D8%A8%D9%86%D8%A7%D8%A1-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%B4%D8%A7%D8%AA-%D8%AF%D8%B1%D8%AF%D8%B4%D8%A9-%D9%81%D9%8A-%D9%85%D9%88%D9%82%D8%B9%D9%83,5.0,1,3 أيام,1,0,$10.00,ثلاثة أيام,1,4,40.0,محمد ا.,https://khamsat.com/user/mo7mad1996m,True,بائع جديد,5.0,1,100.0%,4,1,3 أيام
