Category Name,Category URL,Service Name,Service URL,Offer Name,Offer URL,Offer Stars,Offer Raters,Offer Response Time,Offer Buyers,Pending,Price,Duration,Reviews,Available Additions,Additions Price,Owner Name,Owner URL,Owner Verified,Owner Level,Owner Stars,Owner Raters,Owner Completion Rate,Owner Services,Owner Customers,Owner Response Time
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,تصميم بوستات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners/1573023-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%D8%AA-%D8%B3%D9%88%D8%B4%D9%8A%D8%A7%D9%84-%D9%85%D9%8A%D8%AF%D9%8A%D8%A7,4.5,60,12 ساعة,76,0,$10.00,يومين,25,4,20.0,.Ibraheem K,https://khamsat.com/user/ibraheem_khateeb,True,بائع مميز,4.5,118,95.71%,3,136,4 ساعات
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,تصاميم سوشيال ميديا احترافية,https://khamsat.com/designing/social-posts-banners/2290330-%D8%AA%D8%B5%D8%A7%D9%85%D9%8A%D9%85-%D8%B3%D9%88%D8%B4%D9%8A%D8%A7%D9%84-%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9,5.0,19,18 دقيقة,25,0,$20.00,يوم واحد,19,4,105.0,.Amjad A,https://khamsat.com/user/amjadabolebda,True,بائع مميز,5.0,30,93.85%,2,37,10 دقائق
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,بوستات سوشيال ميديا احترافية,https://khamsat.com/designing/social-posts-banners/2020192-%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%D8%AA-%D8%B3%D9%88%D8%B4%D9%8A%D8%A7%D9%84-%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9,5.0,15,يومين,16,0,$10.00,يوم واحد,15,2,10.0,طارق أ.,https://khamsat.com/user/tariqselmia,True,بائع مميز,5.0,34,96.9%,4,30,يوم
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,خدمة تصميم منشورات احترافية (مواقع التواصل الاجتماعي),https://khamsat.com/designing/social-posts-banners/2176645-%D8%AE%D8%AF%D9%85%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%86%D8%B4%D9%88%D8%B1%D8%A7%D8%AA-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A,5.0,3,ساعتين,4,0,$5.00,يوم واحد,3,5,95.0,.Mohammed J,https://khamsat.com/user/mohammed_thraya,True,بائع مميز,5.0,31,100.0%,4,32,ساعتين
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,سأصمم منشورًا إبداعيًا على وسائل التواصل الاجتماعي,https://khamsat.com/designing/social-posts-banners/1611281-%D8%B3%D8%A3%D8%B5%D9%85%D9%85-%D9%85%D9%86%D8%B4%D9%88%D8%B1%D8%A7-%D8%A5%D8%A8%D8%AF%D8%A7%D8%B9%D9%8A%D8%A7-%D8%B9%D9%84%D9%89-%D9%88%D8%B3%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A,4.5,51,3 ساعات,68,0,$10.00,يوم واحد,25,3,60.0,.Ahmed E,https://khamsat.com/user/a-h-med-essa,True,بائع مميز,4.5,254,93.96%,4,298,23 ساعة
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,تصميم بوست سوشال ميديا بشكل مختلف و إبداعي,https://khamsat.com/designing/social-posts-banners/2113102-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A8%D9%88%D8%B3%D8%AA-%D8%B3%D9%88%D8%B4%D8%A7%D9%84-%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-%D8%A8%D8%B4%D9%83%D9%84-%D9%85%D8%AE%D8%AA%D9%84%D9%81-%D9%88-%D8%A5%D8%A8%D8%AF%D8%A7%D8%B9%D9%8A,5.0,28,17 ساعة,44,0,$10.00,يوم واحد,25,2,10.0,.Mohammed L,https://khamsat.com/user/kareem0001,True,بائع مميز,5.0,32,96.63%,1,47,13 ساعة
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,تصميم بانرات احترافية لمواقع الويب ووسائل التواصل الاجتماعي,https://khamsat.com/designing/social-posts-banners/2533073-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A8%D8%A7%D9%86%D8%B1%D8%A7%D8%AA-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9-%D9%84%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%88%D9%8A%D8%A8-%D9%88%D9%88%D8%B3%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A,5.0,20,34 دقيقة,22,0,$10.00,يومين,20,4,75.0,عثمان خ.,https://khamsat.com/user/charafrobyo1,True,بائع مميز,5.0,133,97.29%,11,115,ساعة
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,تصميمات سوشال ميديا عالية الجودة,https://khamsat.com/designing/social-posts-banners/3026090-%D8%AA%D8%B5%D9%85%D9%8A%D9%85%D8%A7%D8%AA-%D8%B3%D9%88%D8%B4%D8%A7%D9%84-%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-%D8%B9%D8%A7%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9,5.0,2,أقل من دقيقة,2,0,$5.00,يوم واحد,2,0,0.0,.Abdelhamid M,https://khamsat.com/user/abdelhamid209,True,بائع جديد,5.0,2,100.0%,5,2,أقل من دقيقة
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,تصميم بوست احترافي للسوشال ميديا,https://khamsat.com/designing/social-posts-banners/1362459-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A8%D9%88%D8%B3%D8%AA-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%84%D9%84%D8%B3%D9%88%D8%B4%D8%A7%D9%84-%D9%85%D9%8A%D8%AF%D9%8A%D8%A7,5.0,203,4 ساعات,283,0,$35.00,يوم واحد,25,2,10.0,.Mohamed A,https://khamsat.com/user/amrbraw,True,بائع مميز,5.0,213,91.61%,1,287,ساعة
تصميم,https://khamsat.com/designing,منشورات سوشيال ميديا,https://khamsat.com/designing/social-posts-banners,تصميم ستوري للسناب شات او الانستقرام,https://khamsat.com/designing/social-posts-banners/1489347-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%B3%D8%AA%D9%88%D8%B1%D9%8A-%D9%84%D9%84%D8%B3%D9%86%D8%A7%D8%A8-%D8%B4%D8%A7%D8%AA-%D8%A7%D9%88-%D8%A7%D9%84%D8%A7%D9%86%D8%B3%D8%AA%D9%82%D8%B1%D8%A7%D9%85,4.5,16,4 ساعات,20,0,$5.00,يومين,16,2,20.0,هشام ا.,https://khamsat.com/user/mohamed_ahmed_omar,True,بائع مميز,4.5,74,85.21%,2,82,ساعتين
