Category Name,Category URL,Service Name,Service URL,Offer Name,Offer URL,Offer Stars,Offer Raters,Offer Response Time,Offer Buyers,Pending,Price,Duration,Reviews,Available Additions,Additions Price,Owner Name,Owner URL,Owner Verified,Owner Level,Owner Stars,Owner Raters,Owner Completion Rate,Owner Services,Owner Customers,Owner Response Time
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,دروس خاصة في اللغة العربية لمختلف المستويات والصفوف,https://khamsat.com/training/learn-arabic/2701472-%D8%AF%D8%B1%D9%88%D8%B3-%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%84%D9%85%D8%AE%D8%AA%D9%84%D9%81-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%88%D9%8A%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%B5%D9%81%D9%88%D9%81,5.0,3,3 دقائق,3,0,$10.00,ثلاثة أيام,3,1,100.0,أسامة ا.,https://khamsat.com/user/usamaelhuseyn,True,بائع نشيط,5.0,5,84.62%,2,5,ساعة
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,تعليم اللغة العربية عن بعد بأسلوب مبسط لكافة المراحل العمرية,https://khamsat.com/training/learn-arabic/1720826-%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%B9%D9%86-%D8%A8%D8%B9%D8%AF-%D8%A8%D8%A3%D8%B3%D9%84%D9%88%D8%A8-%D9%85%D8%A8%D8%B3%D8%B7-%D9%84%D9%83%D8%A7%D9%81%D8%A9-%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%AD%D9%84-%D8%A7%D9%84%D8%B9%D9%85%D8%B1%D9%8A%D8%A9,5.0,15,54 دقيقة,18,0,$5.00,يوم واحد,15,4,40.0,محمد ا.,https://khamsat.com/user/hhydra,True,بائع مميز,4.5,73,97.24%,4,84,5 ساعات
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,شرح مبسط لقواعد النحو من الصفر إلى الإتقان,https://khamsat.com/training/learn-arabic/2988662-%D8%B4%D8%B1%D8%AD-%D9%85%D8%A8%D8%B3%D8%B7-%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D8%A7%D9%84%D9%86%D8%AD%D9%88-%D9%85%D9%86-%D8%A7%D9%84%D8%B5%D9%81%D8%B1-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%A5%D8%AA%D9%82%D8%A7%D9%86,5.0,2,ساعتين,2,0,$5.00,يوم واحد,2,1,5.0,هدى ا.,https://khamsat.com/user/huda_elshazly,True,بائع جديد,5.0,2,85.71%,2,3,ساعة
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,تدريس علم البلاغة العربية:علم المعاني،علم البيان، علم البديع,https://khamsat.com/training/learn-arabic/2649118-%D8%AA%D8%AF%D8%B1%D9%8A%D8%B3-%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D9%86%D9%8A%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86-%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%A8%D8%AF%D9%8A%D8%B9,5.0,2,10 دقائق,2,0,$10.00,يوم واحد,2,0,0.0,احمد ا.,https://khamsat.com/user/aboaasim2002,True,مشتري مميز,5.0,2,100.0%,2,2,10 دقائق
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,إعراب القصائد والجمل وشرح كل ما يتعلق باللغة العربية,https://khamsat.com/training/learn-arabic/1777937-%D8%A5%D8%B9%D8%B1%D8%A7%D8%A8-%D8%A7%D9%84%D9%82%D8%B5%D8%A7%D8%A6%D8%AF-%D9%88%D8%A7%D9%84%D8%AC%D9%85%D9%84-%D9%88%D8%B4%D8%B1%D8%AD-%D9%83%D9%84-%D9%85%D8%A7-%D9%8A%D8%AA%D8%B9%D9%84%D9%82-%D8%A8%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9,5.0,2,ساعة,3,0,$10.00,يوم واحد,2,2,20.0,وليد ح.,https://khamsat.com/user/wal20099945,True,بائع مميز,5.0,56,95.05%,5,75,3 ساعات
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,المساعدة في واجبات اللغة العربية,https://khamsat.com/training/learn-arabic/1738584-%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A9-%D9%81%D9%8A-%D9%88%D8%A7%D8%AC%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9,5.0,6,16 دقيقة,6,0,$5.00,يوم واحد,6,2,30.0,بيان ر.,https://khamsat.com/user/bayan_rasheed,True,بائع مميز,5.0,42,92.06%,6,37,3 ساعات
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,تدريس في فروع اللغة العربية,https://khamsat.com/training/learn-arabic/2491084-%D8%AA%D8%AF%D8%B1%D9%8A%D8%B3-%D9%81%D9%8A-%D9%81%D8%B1%D9%88%D8%B9-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9,5.0,3,ساعتين,3,0,$5.00,يوم واحد,3,0,0.0,.Saeb D,https://khamsat.com/user/saeb_daloul2023,True,بائع نشيط,4.5,10,97.56%,10,12,ساعتين
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,إبداع بلاغي: أتقن فنون علم المعاني والبيان والبديع,https://khamsat.com/training/learn-arabic/2944713-%D8%A5%D8%A8%D8%AF%D8%A7%D8%B9-%D8%A8%D9%84%D8%A7%D8%BA%D9%8A-%D8%A3%D8%AA%D9%82%D9%86-%D9%81%D9%86%D9%88%D9%86-%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D9%86%D9%8A-%D9%88%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86-%D9%88%D8%A7%D9%84%D8%A8%D8%AF%D9%8A%D8%B9,0.0,0,لم يحسب,1,0,$10.00,يوم واحد,0,2,25.0,أحمد ا.,https://khamsat.com/user/ahmedelaraby1992,True,بائع جديد,5.0,3,100.0%,5,7,ساعتين
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,الاستفسارات اللغوية والاستشارات البحثية,https://khamsat.com/training/learn-arabic/2856570-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D9%81%D8%B3%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%84%D8%BA%D9%88%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D8%AD%D8%AB%D9%8A%D8%A9,5.0,1,3 ساعات,1,0,$5.00,يوم واحد,1,2,15.0,محمود ي.,https://khamsat.com/user/dr_yousef_nour2002,True,بائع جديد,5.0,1,100.0%,4,1,3 ساعات
تعليم عن بعد,https://khamsat.com/training,تعلم اللغة العربية,https://khamsat.com/training/learn-arabic,تعليم اللغة العربية بكل فروعها ولكل المراحل التعليمية,https://khamsat.com/training/learn-arabic/2524048-%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A8%D9%83%D9%84-%D9%81%D8%B1%D9%88%D8%B9%D9%87%D8%A7-%D9%88%D9%84%D9%83%D9%84-%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%AD%D9%84-%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9,5.0,1,ساعتين,3,0,$5.00,يوم واحد,1,1,10.0,.Doaa M,https://khamsat.com/user/dm086268,True,بائع جديد,5.0,1,100.0%,1,3,ساعتين
