Category Name,Category URL,Service Name,Service URL,Offer Name,Offer URL,Offer Stars,Offer Raters,Offer Response Time,Offer Buyers,Pending,Price,Duration,Reviews,Available Additions,Additions Price,Owner Name,Owner URL,Owner Verified,Owner Level,Owner Stars,Owner Raters,Owner Completion Rate,Owner Services,Owner Customers,Owner Response Time
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,رسم هندسي للمخططات الهندسية باستخدام الاوتوكاد AutoCAD,https://khamsat.com/engineering/architectural-plans/1386283-%D8%B1%D8%B3%D9%85-%D9%87%D9%86%D8%AF%D8%B3%D9%8A-%D9%84%D9%84%D9%85%D8%AE%D8%B7%D8%B7%D8%A7%D8%AA-%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D8%AA%D9%88%D9%83%D8%A7%D8%AF-autocad,5.0,6,ساعة,9,0,$10.00,يوم واحد,6,5,110.0,.Mahmoud E,https://khamsat.com/user/magmoud,True,بائع نشيط,5.0,9,100.0%,3,10,ساعة
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,الرسم والتعديل علي الاوتوكاد للمخططات المرسومة يدويا او PDF,https://khamsat.com/engineering/architectural-plans/2838292-%D8%A7%D9%84%D8%B1%D8%B3%D9%85-%D9%88%D8%A7%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%8A-%D8%A7%D9%84%D8%A7%D9%88%D8%AA%D9%88%D9%83%D8%A7%D8%AF-%D9%84%D9%84%D9%85%D8%AE%D8%B7%D8%B7%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B1%D8%B3%D9%88%D9%85%D8%A9-%D9%8A%D8%AF%D9%88%D9%8A%D8%A7-%D8%A7%D9%88-pdf,4.5,9,55 دقيقة,10,0,$10.00,ثلاثة أيام,9,3,30.0,.Omnia A,https://khamsat.com/user/omnia_hendy159,True,بائع نشيط,5.0,17,93.1%,4,21,18 دقيقة
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,رسم وتصميم واظهار المخططات المعمارية 2D ونمذجتها الى 3d,https://khamsat.com/engineering/architectural-plans/2785852-%D8%B1%D8%B3%D9%85-%D9%88%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A7%D8%B8%D9%87%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%AE%D8%B7%D8%B7%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B9%D9%85%D8%A7%D8%B1%D9%8A%D8%A9-2d-%D9%88%D9%86%D9%85%D8%B0%D8%AC%D8%AA%D9%87%D8%A7-%D8%A7%D9%84%D9%89-3d,5.0,10,3 دقائق,13,2,$5.00,يوم واحد,10,5,255.0,سارة ت.,https://khamsat.com/user/taouti_95,True,بائع نشيط,5.0,16,93.55%,5,20,9 ساعات
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,رسم المخططات المعمارية علي برنامج الأوتوكاد,https://khamsat.com/engineering/architectural-plans/2930915-%D8%B1%D8%B3%D9%85-%D8%A7%D9%84%D9%85%D8%AE%D8%B7%D8%B7%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B9%D9%85%D8%A7%D8%B1%D9%8A%D8%A9-%D8%B9%D9%84%D9%8A-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A7%D9%84%D8%A3%D9%88%D8%AA%D9%88%D9%83%D8%A7%D8%AF,5.0,3,5 ساعات,3,0,$5.00,يومين,3,5,110.0,.Ahmed A,https://khamsat.com/user/ahmed74177,True,بائع نشيط,4.5,10,93.1%,2,9,10 ساعات
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,أقوم بالتصميم المعماري لمبناك مع عرض مخطط ونموذج 3D واقعي,https://khamsat.com/engineering/architectural-plans/2265510-%D8%A3%D9%82%D9%88%D9%85-%D8%A8%D8%A7%D9%84%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D9%85%D8%B9%D9%85%D8%A7%D8%B1%D9%8A-%D9%84%D9%85%D8%A8%D9%86%D8%A7%D9%83-%D9%85%D8%B9-%D8%B9%D8%B1%D8%B6-%D9%85%D8%AE%D8%B7%D8%B7-%D9%88%D9%86%D9%85%D9%88%D8%B0%D8%AC-3d-%D9%88%D8%A7%D9%82%D8%B9%D9%8A,5.0,7,10 ساعات,8,0,$5.00,يومين,7,4,75.0,طارق ب.,https://khamsat.com/user/tarekbenaissa,True,بائع نشيط,5.0,7,96.55%,2,8,10 ساعات
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,تصميم معماري لكافة المنشئات السكنية والادارية والخدمية,https://khamsat.com/engineering/architectural-plans/2685077-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%B9%D9%85%D8%A7%D8%B1%D9%8A-%D9%84%D9%83%D8%A7%D9%81%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%B4%D8%A6%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D9%83%D9%86%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%A7%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%AE%D8%AF%D9%85%D9%8A%D8%A9,4.5,18,4 دقائق,27,0,$5.00,ثلاثة أيام,18,5,200.0,.Amr E,https://khamsat.com/user/%D8%B9%D9%85%D8%B1%D9%88-%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%B1%D9%83%D9%8A,True,بائع مميز,4.5,51,90.37%,11,64,ساعتين
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,رسم مخططات هندسية على الاوتوكاد Autocad 2D بسرعة و احترافية,https://khamsat.com/engineering/architectural-plans/2986517-%D8%B1%D8%B3%D9%85-%D9%85%D8%AE%D8%B7%D8%B7%D8%A7%D8%AA-%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A7%D9%88%D8%AA%D9%88%D9%83%D8%A7%D8%AF-autocad-2d-%D8%A8%D8%B3%D8%B1%D8%B9%D8%A9-%D9%88-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9,5.0,3,5 دقائق,3,0,$5.00,يوم واحد,3,5,130.0,يزن ا.,https://khamsat.com/user/yazanalkhatib98,True,بائع نشيط,5.0,8,60.0%,3,6,ساعة
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,رسم وتصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans/2925532-%D8%B1%D8%B3%D9%85-%D9%88%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AE%D8%B7%D8%B7%D8%A7%D8%AA-%D9%85%D8%B9%D9%85%D8%A7%D8%B1%D9%8A%D8%A9,5.0,6,46 دقيقة,9,0,$5.00,يومين,6,5,140.0,.Reem B,https://khamsat.com/user/reem_a_barahmah_98,True,بائع نشيط,5.0,6,90.0%,1,9,46 دقيقة
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,تصميم مخططات معمارية بشكل محترف وبدقة عالية,https://khamsat.com/engineering/architectural-plans/1994396-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AE%D8%B7%D8%B7%D8%A7%D8%AA-%D9%85%D8%B9%D9%85%D8%A7%D8%B1%D9%8A%D8%A9-%D8%A8%D8%B4%D9%83%D9%84-%D9%85%D8%AD%D8%AA%D8%B1%D9%81-%D9%88%D8%A8%D8%AF%D9%82%D8%A9-%D8%B9%D8%A7%D9%84%D9%8A%D8%A9,4.5,21,ساعة,31,0,$5.00,يوم واحد,21,2,70.0,محمد ح.,https://khamsat.com/user/moo_hasan14,True,بائع مميز,4.5,48,98.17%,6,54,29 دقيقة
هندسة وعمارة,https://khamsat.com/engineering,تصميم مخططات معمارية,https://khamsat.com/engineering/architectural-plans,تصميم معماري كامل لمنزلك بنظام مودرن باسعار رخيصة,https://khamsat.com/engineering/architectural-plans/1862456-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%B9%D9%85%D8%A7%D8%B1%D9%8A-%D9%83%D8%A7%D9%85%D9%84-%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%83-%D8%A8%D9%86%D8%B8%D8%A7%D9%85-%D9%85%D9%88%D8%AF%D8%B1%D9%86-%D8%A8%D8%A7%D8%B3%D8%B9%D8%A7%D8%B1-%D8%B1%D8%AE%D9%8A%D8%B5%D8%A9,5.0,9,6 دقائق,9,0,$5.00,أسبوعين,9,5,525.0,.Jubran S,https://khamsat.com/user/gbranmsalh,True,بائع مميز,5.0,22,92.54%,2,25,44 دقيقة
