Category Name,Category URL,Service Name,Service URL,Offer Name,Offer URL,Offer Stars,Offer Raters,Offer Response Time,Offer Buyers,Pending,Price,Duration,Reviews,Available Additions,Additions Price,Owner Name,Owner URL,Owner Verified,Owner Level,Owner Stars,Owner Raters,Owner Completion Rate,Owner Services,Owner Customers,Owner Response Time
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,تعليق صوتي نسائي (لهجة خليجية),https://khamsat.com/audio/voice-over/1868928-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D8%B5%D9%88%D8%AA%D9%8A-%D9%86%D8%B3%D8%A7%D8%A6%D9%8A-%D9%84%D9%87%D8%AC%D8%A9-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9,5.0,105,50 دقيقة,170,0,$5.00,يوم واحد,25,5,75.0,.Lamiaa S,https://khamsat.com/user/lamiaa-sallam,True,بائع مميز,5.0,250,97.13%,5,356,ساعة
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,تعليق وتسجيل صوتي إحترافي باللهجة الخليجية للموشن جرافيك,https://khamsat.com/audio/voice-over/2722614-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D9%88%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D8%B5%D9%88%D8%AA%D9%8A-%D8%A5%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D8%A8%D8%A7%D9%84%D9%84%D9%87%D8%AC%D8%A9-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9-%D9%84%D9%84%D9%85%D9%88%D8%B4%D9%86-%D8%AC%D8%B1%D8%A7%D9%81%D9%8A%D9%83,5.0,3,ساعة,7,0,$15.00,يوم واحد,3,3,35.0,.Sumaiya A,https://khamsat.com/user/soma149,True,بائع موثوق,5.0,70,98.34%,3,101,20 ساعة
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,تعليق صوتي إحترافي باللغة العربية الفصحى و الدارجة المغربية,https://khamsat.com/audio/voice-over/3024225-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D8%B5%D9%88%D8%AA%D9%8A-%D8%A5%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D8%A8%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D9%81%D8%B5%D8%AD%D9%89-%D9%88-%D8%A7%D9%84%D8%AF%D8%A7%D8%B1%D8%AC%D8%A9-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9,5.0,2,49 دقيقة,2,0,$5.00,يوم واحد,2,2,20.0,.Siham A,https://khamsat.com/user/siham_abdel1,True,بائع جديد,5.0,2,100.0%,1,2,49 دقيقة
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,تعليق صوتي نسائي احترافي بكافة الألوان الصوتية,https://khamsat.com/audio/voice-over/2640373-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D8%B5%D9%88%D8%AA%D9%8A-%D9%86%D8%B3%D8%A7%D8%A6%D9%8A-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D8%A8%D9%83%D8%A7%D9%81%D8%A9-%D8%A7%D9%84%D8%A3%D9%84%D9%88%D8%A7%D9%86-%D8%A7%D9%84%D8%B5%D9%88%D8%AA%D9%8A%D8%A9,5.0,17,6 دقائق,20,0,$5.00,يوم واحد,17,5,100.0,ألاء د.,https://khamsat.com/user/alaa_diab95,True,بائع مميز,5.0,90,99.47%,4,99,13 دقيقة
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,بلهجة خليجية تعليق صوتي احترافي بصوت نسائي,https://khamsat.com/audio/voice-over/2824068-%D8%A8%D9%84%D9%87%D8%AC%D8%A9-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D8%B5%D9%88%D8%AA%D9%8A-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D8%A8%D8%B5%D9%88%D8%AA-%D9%86%D8%B3%D8%A7%D8%A6%D9%8A,5.0,25,ساعة,37,0,$10.00,يوم واحد,25,4,80.0,.Alaa S,https://khamsat.com/user/alaa_saber23,True,بائع مميز,5.0,30,95.52%,3,40,ساعة
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,احصل على تسجيل صوتي احترافي لنصوصك خليجي_فصحى,https://khamsat.com/audio/voice-over/1280796-%D8%A7%D8%AD%D8%B5%D9%84-%D8%B9%D9%84%D9%89-%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D8%B5%D9%88%D8%AA%D9%8A-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%84%D9%86%D8%B5%D9%88%D8%B5%D9%83-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A_%D9%81%D8%B5%D8%AD%D9%89,4.5,180,ساعة,237,0,$5.00,ثلاثة أيام,25,5,120.0,أمير ا.,https://khamsat.com/user/ameer_almidane,True,بائع مميز,4.5,180,98.86%,1,237,ساعة
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,تعليق صوتي لكل مشاريعكم بصوت رجالي دافئ و تسجيل نقي,https://khamsat.com/audio/voice-over/1410845-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D8%B5%D9%88%D8%AA%D9%8A-%D9%84%D9%83%D9%84-%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9%D9%83%D9%85-%D8%A8%D8%B5%D9%88%D8%AA-%D8%B1%D8%AC%D8%A7%D9%84%D9%8A-%D8%AF%D8%A7%D9%81%D8%A6-%D9%88-%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D9%86%D9%82%D9%8A,5.0,35,3 أيام,43,0,$10.00,يومين,25,1,40.0,.Amine Taha Z,https://khamsat.com/user/amine_taha_vo,True,بائع مميز,5.0,35,97.04%,1,43,3 أيام
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,تعليق صوتي احترافي للموشن جرافيك,https://khamsat.com/audio/voice-over/451782-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D8%B5%D9%88%D8%AA%D9%8A-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%84%D9%84%D9%85%D9%88%D8%B4%D9%86-%D8%AC%D8%B1%D8%A7%D9%81%D9%8A%D9%83,5.0,291,11 ساعة,450,0,$50.00,يوم واحد,25,3,350.0,.Ahmad A,https://khamsat.com/user/ahmad.aljerbi,True,بائع موثوق,5.0,343,95.51%,3,485,18 ساعة
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,تعليق صوتي لهجة سعودية باحترافية عالية,https://khamsat.com/audio/voice-over/2224070-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D8%B5%D9%88%D8%AA%D9%8A-%D9%84%D9%87%D8%AC%D8%A9-%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%A8%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9-%D8%B9%D8%A7%D9%84%D9%8A%D8%A9,5.0,52,3 ساعات,61,0,$5.00,يوم واحد,25,4,195.0,.Omaima H,https://khamsat.com/user/omaima2020mahmoud,True,بائع مميز,5.0,87,96.27%,3,89,3 ساعات
صوتيات,https://khamsat.com/audio,تعليق صوتي,https://khamsat.com/audio/voice-over,تعليق صوتي احترافي مميز بصوت فخم جهوري سعودي فصحى خليجي لكل مشاريعك الصوتية,https://khamsat.com/audio/voice-over/2804762-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D8%B5%D9%88%D8%AA%D9%8A-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%85%D9%85%D9%8A%D8%B2-%D8%A8%D8%B5%D9%88%D8%AA-%D9%81%D8%AE%D9%85-%D8%AC%D9%87%D9%88%D8%B1%D9%8A-%D8%B3%D8%B9%D9%88%D8%AF%D9%8A-%D9%81%D8%B5%D8%AD%D9%89-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A-%D9%84%D9%83%D9%84-%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9%D9%83-%D8%A7%D9%84%D8%B5%D9%88%D8%AA%D9%8A%D8%A9,5.0,12,7 ساعات,18,0,$5.00,يوم واحد,12,5,75.0,أحمد ي.,https://khamsat.com/user/a7mdmu,True,بائع نشيط,5.0,12,97.06%,1,18,7 ساعات
